Unique Key,Created Date,Closed Date,Agency,Agency Name,Problem (formerly Complaint Type),Problem Detail (formerly Descriptor),Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
68164278,2026 Feb 28 04:26:00 PM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10025,2660 BROADWAY,BROADWAY,W 101 ST,W 102 ST,,,ADDRESS,NEW YORK,,,Open,,,,07 MANHATTAN,MANHATTAN,"992,728","229,985",Unspecified,MANHATTAN,,,,,,,,40.79792764,-73.96937952,POINT (-73.96937952076 40.797927641954)
68148630,2026 Feb 27 10:32:00 AM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10021,236 EAST   75 STREET,EAST   75 STREET,3 AVE,2 AVE,,,ADDRESS,NEW YORK,,,Open,,,,08 MANHATTAN,MANHATTAN,"995,807","220,287",Unspecified,MANHATTAN,,,,,,,,40.77130573,-73.95827561,POINT (-73.958275605191 40.771305728695)
68151535,2026 Feb 27 09:41:00 AM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10011,16 WEST    9 STREET,WEST    9 STREET,5 AVE,BEND,,,ADDRESS,NEW YORK,,,Open,,,,02 MANHATTAN,MANHATTAN,"985,149","206,398",Unspecified,MANHATTAN,,,,,,,,40.73319145,-73.99675618,POINT (-73.996756184659 40.73319145021)
68142409,2026 Feb 26 01:47:00 PM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10034,3880 9 AVENUE,9 AVENUE,W 207 ST,DEAD END,,,ADDRESS,NEW YORK,,,Open,,,,12 MANHATTAN,MANHATTAN,"1,007,273","254,110",Unspecified,MANHATTAN,,,,,,,,40.86411788,-73.91676374,POINT (-73.916763735247 40.864117884465)
68124127,2026 Feb 25 03:38:00 PM,2026 Feb 25 06:30:00 PM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10025,755 AMSTERDAM AVENUE,AMSTERDAM AVENUE,W 96 ST,W 97 ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2026 Feb 25 06:30:00 PM,07 MANHATTAN,MANHATTAN,"992,553","228,745",Unspecified,MANHATTAN,,,,,,,,40.79452434,-73.97001311,POINT (-73.970013111393 40.794524344881)
68091747,2026 Feb 23 04:14:00 PM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10002,,,,,EAST BROADWAY,PIKE STREET,INTERSECTION,MANHATTAN,,,Open,,,,03 MANHATTAN,MANHATTAN,"986,267","199,349",Unspecified,MANHATTAN,,,,,,,,40.71384347,-73.99272428,POINT (-73.992724275488 40.713843468225)
68089708,2026 Feb 23 09:02:00 AM,2026 Feb 23 09:50:00 AM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10040,146 NAGLE AVENUE,NAGLE AVENUE,ARDEN ST,THAYER ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2026 Feb 23 09:50:00 AM,12 MANHATTAN,MANHATTAN,"1,004,775","253,052",Unspecified,MANHATTAN,,,,,,,,40.86122016,-73.92579812,POINT (-73.925798121776 40.861220156497)
68050351,2026 Feb 20 12:05:00 PM,2026 Feb 20 12:05:00 PM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10019,,,,,WEST 57 STREET,BROADWAY,INTERSECTION,MANHATTAN,,,Closed,,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2026 Feb 20 12:05:00 PM,05 MANHATTAN,MANHATTAN,"989,278","218,456",Unspecified,MANHATTAN,,,,,,,,40.76628623,-73.98184871,POINT (-73.981848711652 40.76628623437)
68053074,2026 Feb 20 10:23:00 AM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10009,79 AVENUE C,AVENUE C,E 5 ST,E 6 ST,,,ADDRESS,NEW YORK,,,Open,,,,03 MANHATTAN,MANHATTAN,"989,913","202,730",Unspecified,MANHATTAN,,,,,,,,40.72312192,-73.97956958,POINT (-73.979569576316 40.723121917975)
68045812,2026 Feb 18 11:29:00 AM,2026 Feb 18 11:50:00 AM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10003,79 EAST    4 STREET,EAST    4 STREET,BOWERY,2 AVE,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection inspected your complaint and referred it to the Department of Transportation for further action. If the problem persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2026 Feb 18 11:50:00 AM,03 MANHATTAN,MANHATTAN,"986,995","203,954",Unspecified,MANHATTAN,,,,,,,,40.72648289,-73.99009636,POINT (-73.990096355106 40.726482887667)
